EnShortName	CNName	CNShortName	BookClass	Property1	Property2	Property3
1888	怀爱伦1888年会议资料集	1888	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/74/0.htm	
1MCP	心理、品格与个性	1MCP	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/21/0.htm	
1SAT	证道和演讲　卷一	1SAT	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/38/0.htm	
1SG	属灵的恩赐 卷一	1SG	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/28/0.htm	
1SM	信息选粹卷一	1SM	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/10/0.htm	
1SP	预言之灵　卷一	1SP	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/45/0.htm	
1T	证言精选卷一	ST1	EGW_WRITINGS_ORG_ST	2	ST	-
1T	证言卷一	1T	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/08/0.htm	
2SAT	证道和演讲　卷二	2SAT	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/39/0.htm	
2SG	属灵的恩赐 卷二	2SG	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/54/0.htm	
2SP	预言之灵　卷二	2SP	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/46/0.htm	
2T	证言精选卷一	ST1	EGW_WRITINGS_ORG_ST	2	ST	-
2T	证言卷二	2T	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/09/0.htm	
3SG	属灵的恩赐 卷三	3SG	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/30/0.htm	
3SP	预言之灵　卷三	3SP	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/47/0.htm	
3T	证言精选卷一	ST1	EGW_WRITINGS_ORG_ST	2	ST	-
3T	证言卷三	3T	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/17/0.htm	
4aSG	属灵的恩赐 卷四A	4aSG	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/31/0.htm	
4bSG	属灵的恩赐 卷四B	4bSG	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/55/0.htm	
4SP	预言之灵　卷四	4SP	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/48/0.htm	
4T	证言精选卷一	ST1	EGW_WRITINGS_ORG_ST	2	ST	-
4T	证言卷四	4T	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/18/0.htm	
5T	证言精选卷二	ST2	EGW_WRITINGS_ORG_ST	2	ST	-
5T	证言卷五	5T	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/04/0.htm	
6T	证言精选卷二	ST2	EGW_WRITINGS_ORG_ST	2	ST	-
6T	证言精选卷三	ST3	EGW_WRITINGS_ORG_ST	2	ST	-
6T	证言卷六	6T	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/05/0.htm	
7T	证言精选卷三	ST3	EGW_WRITINGS_ORG_ST	2	ST	-
7T	证言卷七	7T	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/06/0.htm	
8T	证言精选卷三	ST3	EGW_WRITINGS_ORG_ST	2	ST	-
8T	证言卷八	8T	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/07/0.htm	
9T	证言卷九	T9	EGW_WRITINGS_ORG	2	L1Title	章
9T	证言卷九(修订本)	9T	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/11/0.htm	
AA	使徒行述	AA	EGW_WRITINGS_ORG	1	L1Title	章
AG	奇妙的神恩	AG	EGW_WRITINGS_ORG	3	L1Title	日
AH	复临信徒家庭	AH	EGW_WRITINGS_ORG	2	L1Title	编
ApM	对母亲们的呼吁	ApM	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/42/0.htm	
AY	致青少年—母亲的信	AY	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/58/0.htm	
CC	奋斗与勇敢	CC	EGW_WRITINGS_ORG	3	L1Title	日
CCh	给教会的勉言	CCh	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/32/0.htm	
CD	论饮食	CD	EGW_WRITINGS_ORG	2	L1Title	篇
CE	基督化的教育	CE	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/40/0.htm	
CET	基督徒经验谈	CET	EGW_WRITINGS_ORG	4	L1Title	章
CG	儿童教育勉言	CG	EGW_WRITINGS_ORG	4	L1Title	编
ChL	论基督化领导	ChL	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/59/0.htm	
ChS	基督徒服务大全	ChS	EGW_WRITINGS_ORG	4	L1Title	章
CIHS	基督在祂的圣所里	CIHS	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/50/0.htm	
CL	乡村生活	CL	EGW_WRITINGS_ORG	2	L2Title	部分
CM	文字布道指南	CM	EGW_WRITINGS_ORG	4	L2Title	编
CME	健康呼召	CME	EGW_WRITINGS_ORG	4	L1Title	章
CME	医疗布道和健康教育的呼召	CME	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/67/0.htm	
COL	基督比喻实训	COL	EGW_WRITINGS_ORG	2	L1Title	章
Con	争锋	Con	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/70/0.htm	
CS	管家的勉言	CS	EGW_WRITINGS_ORG	4	L1Title	章
CSA	超凡脱俗	CSA	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/61/0.htm	
CSW	安息日学训言	CSW	EGW_WRITINGS_ORG	4	L1Title	篇
CSW	安息日学工作勉言	CSW	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/73/0.htm	
CT	基督教育之研究---致教师，学生和父母的勉言	CT	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/62/0.htm	
CTBH	基督徒节制和圣经卫生	CTBH	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/26/0.htm	
CTr	得胜的基督	CTr	EGW_WRITINGS_ORG	3	L1Title	日
CW	给作家和编辑的勉言	CW	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/44/0.htm	
DA	历代愿望	DA	EGW_WRITINGS_ORG	1	L1Title	章
DD	黎明前的黑暗	DD	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/41/0.htm	
DG	神的女儿	DG	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/36/0.htm	
Ed	教育论	Ed	EGW_WRITINGS_ORG	2	L2Title	篇
Ev	布道论	Ev	EGW_WRITINGS_ORG	2	L2Title	章
EW	早期著作	EW	EGW_WRITINGS_ORG	4	L2Title	-
EW	早期著作	EW	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/14/0.htm	
FE	基督教育原理	FE	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/24/0.htm	
FLB	信仰的基础	FLB	EGW_WRITINGS_ORG	3	L1Title	日
FW	信心与行为	FW	EGW_WRITINGS_ORG	4	L1Title	章
GC	善恶之争	GC	EGW_WRITINGS_ORG	1	L1Title	章
GW	传道良助	GW	EGW_WRITINGS_ORG	2	L1Title	章
GW	传道良助(新译本)	GW	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/72/197.htm	
GW92	传道良助(1892年)	GW92	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/72/1.htm	
HFM	论健康食品	HFM	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/65/0.htm	
HL	健康生活	HL	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/53/0.htm	
HP	一同在天上	HP	EGW_WRITINGS_ORG	3	L1Title	日
HS	基督复临安息日会国外布道史略	HS	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/27/0.htm	
Hvn	天国	Hvn	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/37/0.htm	
LDE	末时大事记	LDE	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/13/0.htm	
LHU	高举主耶稣	LHU	EGW_WRITINGS_ORG	3	L1Title	日
LS	怀爱伦自传	LS	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/49/0.htm	
LYL	给恋爱青年的信	LYL	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/12/0.htm	
Mar	主必快来	Mar	EGW_WRITINGS_ORG	3	L1Title	日
MB	福山宝训	MB	EGW_WRITINGS_ORG	2	L1Title	章
MC	书报员手册	MC	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/22/0.htm	
MH	服务真诠	MH	EGW_WRITINGS_ORG	2	L1Title	章
ML	今日的生活	ML	EGW_WRITINGS_ORG	3	L1Title	日
MM	医药布道论	MM	EGW_WRITINGS_ORG	2	L2Title	-
MTC	论城市布道	MTC	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/64/0.htm	
MYP	告青年书	MYP	EGW_WRITINGS_ORG	2	L2Title	篇
NL	新生	NL	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/33/0.htm	
OHC	崇高的恩召	OHC	EGW_WRITINGS_ORG	3	L1Title	日
PaM	论教牧工作	PaM	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/34/0.htm	
PK	先知与君王	PK	EGW_WRITINGS_ORG	1	L1Title	章
PM	论出版工作	PM	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/15/0.htm	
PP	先祖与先知	PP	EGW_WRITINGS_ORG	1	L1Title	章
Pr	论祈祷	Pr	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/66/0.htm	
RC	彰显主基督	RC	EGW_WRITINGS_ORG_DEV	3	L1Title	日
RY	银色年华	RY	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/69/0.htm	
SA	严肃的呼吁	SA	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/52/0.htm	
SC	喜乐的泉源	SC	EGW_WRITINGS_ORG	2	L1Title	、
SD	上帝的儿女	SD	EGW_WRITINGS_ORG	3	L1Title	日
SL	成圣的人生	SL	EGW_WRITINGS_ORG	3	L1Title	章
SpTEd	教育特别证言	SpTEd	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/63/0.htm	
SR	救赎的故事	SR	EGW_WRITINGS_ORG	4	L1Title	章
TA	论天使	TA	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/19/0.htm	
TDG	今日偕主行	TDG	EGW_WRITINGS_ORG	3	L1Title	日
Te	论节制	Te	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/16/0.htm	
TM	给传道人的证言	TM	EGW_ZGAXR	5	http://www.zgaxr.com/book/006/004/0.htm	
TMK	使我认识他	TMK	EGW_WRITINGS_ORG	3	L1Title	日
TR	真正的复兴——教会最大的需要	TR	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/71/0.htm	
TSB	论婚姻危机——关于性行为，通奸和离婚的证言	TSB	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/20/0.htm	
TSDF	饮食证言	TSDF	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/57/0.htm	
VSS	演讲与歌唱	VSS	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/23/0.htm	
WLF	致“小群人”的信息	WLF	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/35/0.htm	
WM	论慈善工作	WM	EGW_ZGAXR	5	http://www.zgaxr.com/book/005/25/0.htm	
YRP	你必得能力	YRP	EGW_WRITINGS_ORG	3	L1Title	日
